		
		
		
		
		
Page Name	Entity URL	Description
Cafe coffee day "CCD"	https://www.facebook.com/10150107961770527	
Dunn Bros Coffee	https://www.facebook.com/55878149333	
Cafe by the Beach	https://www.facebook.com/208810572533491	
Hải sản Gió Biển	https://www.facebook.com/359218634153002	Lẩu cua bể:  Lẩu cua bể mời gọi thực khách với những con cua bể khủng, nồi nước lẩu nhiều màu sắc, đĩa rau sống đa dạng và chén nước mắm chỉ gia giảm màu đỏ tươi của ớt.   Về cua, có ba cách trình bày và chế biến. Một là bày nguyên con cua còn sống, còn dây ràng; hai là chặt làm 4 rồi xếp ra đĩa; cuối cùng là nấu chín rồi cho hẳn vào nồi nước dùng. Mỗi cách trình bày mang đến những trải nghiệm khác nhau về ấn tượng, cách thưởng thức.  Song nếu nói về độ hấp dẫn thì nồi lẩu với càng, mai cua "khủng", đỏ au, nổi bật trên màu xanh của các loại rau cùng hương thơm thoang thoảng trong gió luôn có sức hút mạnh hơn màu xám đậm hay vẻ "dơ dơ, bẩn bẩn" của những con cua còn nguyên dây ràng.  Minh chứng cho nhận định này là dù quán vỉa hè, giá 5 sao nhưng lẩu cua bể trên đường Nguyễn Thị Nghĩa luôn trong tình trạng “cháy vé”. Tất nhiên ngoài lý do bắt mắt thực khách từ ban đầu, không thể không tính đến điểm cộng về độ tươi, ngon, chắc ngọt của cua, cảm nhận đủ vị về nước lẩu của quán.
Café Rouge	https://www.facebook.com/207511922592337	Now with over 111 sites across the country it's just the place to mull over the morning papers with a cafe au lait and a croissant, pop in for a spot of lunch, share a post-work drink or relax over an evening meal.  Our menu covers a range of French classics from croques and baguettes, ideal for a quick and easy snack, to more substantial fare such as steak frites and boeuf bourguignon. Likewise, our wines are predominately French, many made by lesser known producers, and provide the perfect accompaniment to the food on offer.  If it's been a while since you've paid a visit, we think you''ll be surprised by how much you've missed us. No hassle, no rush, no skinny- decaff-double-shot-to-go, just a vibrant atmosphere that moves with your moods throughout the day. 
Café Santa Clara	https://www.facebook.com/137206136342056	
Cafe Ideal	https://www.facebook.com/495670120447103	
Café ideal	https://www.facebook.com/294285000669626	
Café Idéal	https://www.facebook.com/92666193970	
Ideal net cafe	https://www.facebook.com/242644865803957	
Idealist Cafe	https://www.facebook.com/116657405018052	Idealist Cafe is a site for people who want to experience life. It is an evolution, and you're welcome to be a part of it. You are encouraged to share what you're reading, learning, doing, and experiencing. One the time there are articles about all sorts of lifestyle topics, broadly covering adventure, health and diet, travel, sustainability and life in general, and select ones will be shared here as well. Topics are always evolving, with writings in more detail about things we're currently being inspired and motivated by, and that we're experimenting with (depending on the day, things like raw food & veganism, barefoot running, and not using shampoo).  Are you in?
IdealNet Cafe	https://www.facebook.com/508634905822358	
Cafe Noorani Milk Darbar	https://www.facebook.com/263326453761727	
Noorani sweets	https://www.facebook.com/211784552283567	Ramzan specialist : malpuas with rabdi                                                                                 four types of firni: mango,strawberry,blackcurrant,chikoo
Nariman point(inox)	https://www.facebook.com/158532130904617	
Nariman Point	https://www.facebook.com/112035015480221	Nariman Point is Mumbai's premier business district and country's first central business district. It was named after Khursheed Framji Nariman, a Parsi visionary. The area is situated on land reclaimed from the sea. It had the distinction of having the highest commercial real estate rental space in the world in 1995 at $175 per square foot ($1880/m²). Nariman Point hit a new high as a flat sold for a record $8.62 million (USD) on 26 November 2007, at an astonishing $2488 ( 97,842) per square foot. According to the "Office Space Across the World 2012" report by Cushman & Wakefield, Nariman point is the 15th most expensive CBD in the world. The area is situated on the extreme southern tip of Marine Drive. It houses some of India's premier business headquarters. Nariman point is the 4th most expensive office market in the world.HistoryPrior to 1940, the area was part of the Arabian sea. A popular leader of the Congress, Khurshid Nariman (affectionately called Veer Nariman), a Brihanmumbai Municipal Corporation corporator, proposed to reclaim the area from the sea near Churchgate. To accomplish this task, debris from various parts of the city was dumped here and the shallow sea coast was filled. Reinforced concrete cement was used, of which the imported steel used was obtained from the black market at a higher price due to the World War II.The entire cost was estimated to be 3 lakhs or 300,000 (now 10 crores or 100,000,000) Additional reclamations were carried out in the 1970s. A construction boom in that decade saw this region spurting many commercial high-rises.
Trident Nariman Point	https://www.facebook.com/91529926044	As you enter the lobby, you are enveloped within its serenity. The pianist soothes your senses with dextrous skill as you take in the cinemascope views of the ocean.  The guest rooms are equipped with mini bar, tea-coffee maker, direct dial telephone, in-room electronic safes, wireless broadband facilities, data-port facility and individually controlled air conditioning system.    For the business traveller, dedicated business support and attention to detail are intransigent. Not only does Trident Club offer the business traveller services to make their business trip simple and stress-free but also a multitude of facilities, including butler service, to make the trip a comfortable, relaxing and memorable experience. Located on the 28th, 29th, 30th and 31st floors of Trident, Nariman Point, Mumbai, these facilities tower above the rest.   The restaurants and bar at Trident, Nariman Point, Mumbai, are extremely popular for their cuisine and innovation that offers both eastern and western flavours. Whether a guest wishes to entertain a group of local Trumps or Iococcas, tuck into a quiet dinner or unwind after a long day, he can choose to relax at any of these glamorous dining options.   The perfect place to rejuvenate, Trident spa & fitness centre provides guests the opportunities to ease the day’s strains with expert trained in Aromatherapy and western techniques or guests can opt for the fitness centre, which houses an array of state of the art equipment. Adjoining the fitness centre is Silhouette, the beauty parlour and barber shop operated by attentive personnel trained in international beauty treatments.  But if it is mergers and acquisitions that you want to work on, cocoon yourself in the expansive Trident Meetings located on the 35th floor of Trident, Nariman Point, Mumbai. Contemporary in design, the nine sound proof meeting rooms are equipped with state of the art business tools and technology in addition to presenting guests with a breathtaking view.  The hotel also offers conference facilities ranging in capacity from the intimate Malabar Room and The Rooftop with a view of the Queen’s Necklace to the spacious Regal Room that can accommodate up to 1500 persons for a reception.  Whether you are intent on clinching a business deal or would rather stop over to relax, Trident, Nariman Point, Mumbai serves the function of a business hub or a hideaway. 
Gaja at Nariman Point	https://www.facebook.com/131322700341363	
Nariman Point	https://www.facebook.com/127198367299573	
nariman point	https://www.facebook.com/188277507885926	
nariman point	https://www.facebook.com/304464684392	
Nariman Point	https://www.facebook.com/167553289946634	
NaRiMan PoInT	https://www.facebook.com/388987171154153	Nariman point...as always, adorable......
Nariman Point	https://www.facebook.com/404639929549070	This is only place where we were met at every   evening.Nariman Point is just nothing but a   'road-side' place at Susari Road. In summer when   lights went out and the darkness covers all over the   city; then we come out here for a breath. At least 10 years   ago, it was a wonderful place but now it disappeared   somewhere; lost in the 'crowd'.
Nariman Point	https://www.facebook.com/221045527993509	in@apichemicals.in info@apichemicals.co.in apichemicals@Hotmail.Co.in
Nariman Point	https://www.facebook.com/238350696250944	
Nariman Point	https://www.facebook.com/170361246358622	Vipin Saxena || विपिन सक्सेना  VipinSaxena@mail.Com  VipinSaxena@email.Com  +91 9821050033 || BlackBerry Pin : 30C96196 +91 9820150033 || BlackBerry Pin : 20DBF0EC 33in@in.Com|3iin@in.Com|3iMail@gmail.Com|   Call.Fax.Mail.Message: Tell +91 22 6578 5588  Your Lucky TollFREE Number: +91 9820150033  +91 9821150033 +91 9821050033  +91 9921150033  +91 9821450033  +91 9321150033 +91 9870450033  +91 9221150033  http://NarhanEstate.Blogspot.Com www.Facebook.Com/NarhanEstate
Marine Drive	https://www.facebook.com/172960992767405	Marine Drive is a skillfully laid-out boulevard in South Mumbai. It is actually an upturned 'C'-shaped six lane concrete road, which lengthens to 3 km along the coastline - a natural bay. This avenue connects Nariman Point with Malabar Hills. Situated over domesticated land, facing west-south-west, its coastline forms the part of the Arabian Sea. What draws attention to this avenue is the striking esplanade next to the road, where scores of people come to breathe fresh air and view sunset.   If you're feeling energetic, a stroll down Marine Drive is possibly the best way to discover Mumbai. This is a windswept promenade, flanked by the sea and a row of art deco buildings. Looped between the concrete jungle of Nariman Point, Mumbai's Manhattan, and the leafy green slopes of Malabar hill, Marine Drive was once called the queen's Necklace, strung with glittering street lights like an enormous strand of imperious jewels. It is also one of Mumbai's busiest roads, an important artery for the heavy suburban traffic heading downtown. Cars whiz continually past the two mile stretch, past huddled lovers, children and babies in perambulators. Like other seafronts, this is where most of south Mumbai comes to breathe in some fresh air.
Nariman point(inox)	https://www.facebook.com/158532130904617	
Suzette	https://www.facebook.com/186315801414899	Our simple yet elegant menu makes Suzette a place to go for a fresh and tasteful experience: Suzette is our interpretation of an authentic French crêperie in a trendy ambience.  At Suzette, you will find for the first time in Bombay our crepes made in the pure Brittany tradition. It’s also one of the only places in India where you can feel the atmosphere of Paris.  But it’s not just about crepes, we are also offering French salads made of quality and fresh ingredients and a large selection of natural juices, smoothies, fine teas and of course anything you like from our espresso bar.  Come and enjoy a true French experience: have an espresso shot at the bar with you daily newspaper, daydream with past and new melodies of France and explore our French book corner.   We have 2 outlets in Mumbai, in Nariman Point and in Bandra:  Suzette Nariman Point Atlanta Building Opp Maker Chambers V Behind Axis Bank 22 88 00 55 Closed on Sunday  Suzette Bandra St John Rd Opp Gold's Gym Pali Naka  26 41 14 31 Open everyday   Opening hours : 9 am - 11 pm
Trident, Nariman Point, Mumbai	https://www.facebook.com/139429192742076	The Oberoi and Trident are two brands of five star hotels operated and sometimes owned by the Oberoi Hotels & Resorts located in several cities in India and across the world. When located together in a single complex, they are collectively called Oberoi Trident.Oberoi Hotels & Resorts and Trident Hotels at Mumbai are located at Nariman Point and are separately known as The Oberoi Mumbai and Trident, Nariman Point. They are both owned and managed by the Oberoi Hotels & Resorts. The two hotels are separate buildings, but are connected by a passage.The hotels were initially known as Oberoi Towers/Oberoi Sheraton. The hotel was named as the Hilton Towers during the marketing alliance between Hilton Hotels Corporation and the Oberoi Hotels & Resorts which lasted from 2004 until April 2008. In April 2008, the hotel was again renamed to Trident Towers.November 2008 terrorist attackOn November 26, 2008 The Oberoi, Mumbai & Trident, Nariman Point was taken over by terrorist organizations as a part of the 2008 Mumbai attacks. 32 staff and guests were killed during the 3-day siege.Vetro, the Italian restaurant at The Oberoi was the only area of the hotel that was not damaged during the attacks. Abhimanyu Ranawat, who was the restaurant manager at the time, closed the oval wooden door of the restaurant that took the impact of the bullets. Ranawat was successful in evacuating the restaurant and saving over 40 lives. He was recognized by the company and also by the media for his brave actions and quick reflexes.
Nariman Point A Gift To Mumbai The Best Place in Mumbai	https://www.facebook.com/277274058959743	
Nariman point lovers	https://www.facebook.com/299255583514555	
ACG Worldwide	https://www.facebook.com/310032149022667	ACG Worldwide has been serving the pharmaceutical industry for five decades and is the second largest manufacturer of empty hard capsules in the world. The group comprises of 13 companies, including subsidiaries in China, USA, Indonesia, Brazil and Europe
Barista Prima Coffeehouse	https://www.facebook.com/148863598467520	A passion for rich, deep-roasted brews lies at the heart of Barista Prima Coffeehouse®, an exclusive collection of the world's finest Arabica coffees roasted in the tradition of Europe's most celebrated coffee houses. Bold and complex, yet perfectly balanced, each cup reflects the consummate artistry and handcrafted care that only the most skilled baristas can deliver. 
Barista	https://www.facebook.com/81288158228	
Barista Lavazza	https://www.facebook.com/304863908225	
Barista	https://www.facebook.com/111947212152831	A barista is a person, usually a coffee-house employee, who prepares and serves espresso-based coffee drinks.Etymology and declensionThe word barista is of Italian origin, and in Italian, a barista is a male or female "bartender", who typically works behind a counter, serving both hot drinks (such as espresso), and cold alcoholic and non-alcoholic beverages, not a coffee-maker specifically.The native plural in English is baristas, while in Italian the plural is baristi for masculine or mixed sex (baristi: "barmen", "bartenders") or bariste for feminine (bariste: "barmaids").Application of the titleWhile the title is not regulated, most coffee shops use the title to describe the preparer of coffee and operator of an espresso machine.Baristas generally operate a commercial espresso machine, and their role is preparing the shot and pulling the shot; the degree to which this is automated or done manually varies significantly, ranging from push-button operation to an involved manual process. Machines range from manual (lever), where the pressure is applied by hand, to semi-automatic, where the pressure is applied automatically but brew time is selected by the barista, to automatic, where the brew time is also preset (but preparing the grinds is still manual), to super-automatic, where the barista need only load the beans and push a button, but is otherwise completely automated. Espresso is a notoriously finicky beverage, and thus good manual espresso making is considered a skilled task. Further, preparation of other beverages, particularly milk-based drinks such as cappuccinos and lattes, but also non-espresso coffee such as drip or press pot, requires additional work and skill for effective frothing, pouring and most often latte art.
Cafe Barista lovers	https://www.facebook.com/287947175659	Café Barista nació en Guatemala para ofrecer un lugar en el que los guatemaltecos puedan tomar el mejor café del mundo.
Barista Magazine	https://www.facebook.com/152343203015	
Academia Barista Pro	https://www.facebook.com/171530886228701	Nuestro Objetivo Principal es promover la carrera de Barismo y fomentar que ésta se practique bajo las mejores normas y así lograr la excelencia en cada taza de café.  Our main objective is to promote the Barista Career and teach students the importance of practicing it under the best norms and rules to achieve maximum excellence in every cup of coffee.   Lunes a Viernes - Horario de mañana comienza a las 9am, termina a la 1pm. Horario de Tarde comienza a las 2pm y termina 6pm. Sábados comenzamos a las 10am y terminamos a la 1pm y en la tarde comenzamos a las 2pm y terminamos a las 5pm.
Barista Varietals	https://www.facebook.com/401560703245031	We provide a fresh and open-minded perspective into the world of coffea. More than coffee, Barista Varietals covers the heritage, community and human experience of this wonderful imbibe. Farmers, suppliers, roasters and enthusiasts from around the globe serve as our muse. Coffee house culture, food, art, fashion and music are driving forces behind our posts. Whatever Baristas and coffee people like, we love and want to share through literature and photography. 
Barista Exchange	https://www.facebook.com/75600767104	
Barista Coffee	https://www.facebook.com/106014416095535	Barista Lavazza is a chain of espresso bars in India. Established in February 2000 under the name Barista, it was taken over by Lavazza in 2007, a world-famous enterprise that continues as Italy’s top-ranking coffee company.HistoryHeadquartered in Okhla, Barista currently has espresso bars across India, Sri Lanka, Bangladesh and the Middle East. It was established in February 2000 by the Barista Coffee Company Limited. A 34.3% equity stake was sold to Tata Coffee in 2001. C Sivasankaran bought the remaining 65 per cent in Barista from the Amit Judge-controlled Turner Morrison in 2004, and his Sterling Group also bought out Tata Coffee's stake later. In 2007, the Sterling Group sold Barista to Lavazza. Barista Lavazza is currently owned by Lavazza. The coffee is supplied by the Indian roaster Fresh and Honest, headquartered in Chennai, which is also owned by Lavazza. , the chain has 200 stores in India, with an estimated annual revenue of 200 crores.Barista was the fastest brand to make it on the list of super brands and is ranked among the top 50 phenomena that changed India.
Barista Jam	https://www.facebook.com/179239475445550	Specialty Coffee, Coffee Beans, Home and Commercial Coffee Equipments
Philippine Barista & Coffee Academy, Inc.	https://www.facebook.com/138426199542691	
Media Barista	https://www.facebook.com/289579214416071	
Barista Fair Trade Coffee	https://www.facebook.com/105380708101	Vinnare: Bästa miljöarbete 2012, Malmö Stads Miljöpris 2011, Årets Skånska Entreprenörer 2011, 2 Silvermedalj och 1 bronsmedalj hittills i Barista Cup (SM i kaffe)
Barista Nation	https://www.facebook.com/178601548857608	
The Barista Way	https://www.facebook.com/67913084422	
Barista Kids	https://www.facebook.com/116090169739	
Sexiest Baristas	https://www.facebook.com/424141427617418	
Instant Barista	https://www.facebook.com/151142674973151	Instant Barista is the ultimate app for the learning about the world of coffee.   Whether you are an aspiring barista or just want to explore new drinks to order at coffee shops, Instant Barista is just for you!   >Over 75 Classic coffee shop drinks  > Quick and easy tutorials on how to make Latte Art!  >Tips for saving money at your favorite Starbucks and your favorite coffee shops  > Excellent tutorials on brewing espresso, coffee and tea  > Coffee selection flavor wheel  > Fun Facebook community to share recipes which may lead to your recipe being featured on our next update!   Download here! http://itunes.apple.com/us/app/instant-barista/id463232200?ls=1&mt=8  Some Icons provided by:  http://www.visualpharm.com/office_space_icon_set/
Barista Coffee	https://www.facebook.com/33545295294	
Barista Choi Vending Solutions Inc	https://www.facebook.com/186923338029283	
Barista Babes	https://www.facebook.com/347634598609598	
Barista Sri Lanka	https://www.facebook.com/24677460801	
Hội Barista Sài Gòn	https://www.facebook.com/307150256046806	
Baristart	https://www.facebook.com/365924596823685	I am here to share what I do, bring something new to the world, express myself through the medium of espresso and milk, and blow your mind in the process. like me and share if you are awesome, love art, coffee, and the absurd! I will upload regularly!
Barista Techniques	https://www.facebook.com/167862541071	The 2nd edition of Barista Techniques is now available and replaces the acclaimed 1st edition. It has had a complete make-over and contains over 50 pages of new text and information.
Barista-matic.com	https://www.facebook.com/205712652854587	Tradicionalmente, entrar al negocio de café gourmet y especialidades significaba una inversión significativa en maquinaria y personal barista especializado.  La calidad del café servido variaba dependiendo del trabajo del barista y eso ocasionalmente causa insatisfacción en los clientes.  Barista-matic tiene soluciones prácticas y económicas para permitirle entrar al mundo del café gourmet y especialidades con $0 inversión en maquinaria y personal y un nivel de servicio y calidad de café servido inigualable desde el primer café.  Nuestra maquinaria es reconocida mundialmente por su confiabilidad y calidad y nuestras cataciones de café han sido reconocidas como algunos de los cafés más sabrosos en El Salvador.  Nuestro modelo de negocio está diseñado para que su incursión en el mercado de café gourmet y especialidades no requiera que compre la maquinaria o contrate personal especializado - llámenos al 2536 7696 y comience a competir con alta calidad y satisfacción... 
Barista Jon DeCH	https://www.facebook.com/227814920585541	El conocimiento no pertenece a nadie, por eso es nuestro deber compartirlo, dale click en "me gusta" y ayudame a compartirlo !!
Ultimate Barista Challenge	https://www.facebook.com/133513843327720	
Barista J	https://www.facebook.com/214647612001312	
Barista HK	https://www.facebook.com/287097018056681	We love everything about Coffee, from how Coffee trees grow and to how to brew and create different Coffee delights! 
Bachelorr's (Bachelor Juice House).	https://www.facebook.com/120288138036983	Bachelorr's, a Fast Food & Ice Cream Outlet was established in early Thirties by Late Mr. Om Prakash Agarwal and has been a popular Hangout of the people from all sections of Society.. Industrialists.. Movie Fraternity...Cricket Players and Common man too  Bachelorr's is Immensely popular among the College Students. In fact, Rocky & Mayur from the 'Highway on my Plate' show fame shot at Bachelorr's They had received a huge number of mails, asking for a 'Shootout at Bachelorr's'  Bachelorr's has been well known for the Hand Churned Ice Creams, Strawberries & Other Fresh Fruits with Fresh Cream Toppings. Classic Chocolate Shake and Thin Crust Pizzas are also other Best Selling Items. We were the First to Introduce Fresh Green Chili and Fresh Ginger Ice Cream.  We at Bachelorr's work hard to provide the Best of the products possible, with the Best Quality Ingredients available. We are continuously supported and encouraged by our Esteemed Customers who Inspire us to maintain our efforts in Serving the Best Items  Bachelorr's has been regularly featured in various Magazines, News Papers an different T. V. shows too on various Channels  Arun Agarrwal 
Infiniti Mall Malad	https://www.facebook.com/136751739754827	
Infiniti mall 2	https://www.facebook.com/383079855060527	
Inorbit Mall	https://www.facebook.com/111086442253325	Registered Address  Inorbit Malls (India) Pvt Ltd K. Raheja Corp, 4th Floor Bandra Kurla Complex, Bandra(E) Mumbai 400 051, India  A company of K.Raheja Corp     Inorbit Malad Email: sales.malad@inorbit.in Tel: +91 22 6677 7999 Fax: +91 22 6677 7555    Inorbit Vashi Email: sales.vashi@inorbit.in Tel: +91 22 6777 7666 Fax: +91 22 6777 7667   Inorbit Cyberabad Email: sales.cyberabad@inorbit.in   Inorbit Pune: Email:sales.pune@inorbit.in Tel : +91 22 26565400  
Inorbit mall mumbai malad	https://www.facebook.com/456663424356861	
Paying Guest (PG) at InOrbit Mall, Goregaon & Malad	https://www.facebook.com/174885525901728	We provide Paying Guest (PG), Service Apartments and all kinds of other accommodation all over Mumbai FOR MALES, FEMALES AND STUDENTS  For more details call or SMS +918898881924 or +919930555044.  The following facilities and services are available:  AC or Non-AC Rooms. Fully-furnished Rooms on Single, Twin and Three sharing basis. Solo/Single Rooms also available for Working Men/Women. Separate Flats and services for Women. All flats are in new or almost new buildings with two lifts (in case of breakdown) and complete security facilities like Intercom/CCTV cameras, etc. Gym and Health Club Facilities Airport pickup and drop facilities    OUR CORPORATE SERVICE APARTMENTS ARE COMPARABLE TO ANY 3 STAR HOTEL IN MUMBAI IN TERMS OF SERVICE AND COMFORT AND HAVE THE FOLLOWING FACILITIES   Fully AC  Laundry Services included in Rent  Flat cleaning, bed-linen, etc included in Rent. Bed-linen/bedsheets, etc cleaned/changed 3 times a week.  Cooking Gas, Fridge, Television/Cable, Washing Machine, Locker and cupboards, Microwave, provided as part of package  Veg / Non-Veg Tiffin Services available round-the-clock. Breakfast/Tea and special food can be prepared on request as and when required.  Gym, Health Club in the vicinity  Multi-cuisine restaurants, Cinemas, Shopping Malls, Shopping Complexes, Airport, Railway Stations all within a short distance.      EACH PG APARTMENT IS PROVIDED WITH THE FOLLOWING SERVICES:   Laundry Services included in Rent  Flat cleaning, bed-linen, etc included in Rent. Bed-linen/bedsheets, etc cleaned/changed 3 times a week.  Cooking Gas, Fridge, Television/Cable, Washing Machine, Locker and cupboards provided as part of package  Veg / Non-Veg Tiffin Services available round-the-clock. Breakfast/Tea and special food can be prepared on request.  We also provide Ticket and Travel Booking facilities at no extra charges.  Regular Pest Control undertaken in all flats.  Advance Booking possible.  We also provide accommodation for weekly/monthly basis for training/students/marriages/events.
Cafe coffe day	https://www.facebook.com/206373076131408	
cafe coffe day	https://www.facebook.com/316766918457	
Cafe Coffe Day	https://www.facebook.com/344068735661773	
Cafe coffe day	https://www.facebook.com/130413900414725	
Coffe Cafe Day	https://www.facebook.com/244720342305655	
cafe coffe day (CCD)	https://www.facebook.com/121833224522170	
